Wall time,Step,Value
1756077860.0120509,8570,0.23269279301166534
1756077886.5619805,8660,0.25442853569984436
1756077901.5244622,8710,0.17541423439979553
1756077945.8188696,8860,0.23687204718589783
1756077978.4290974,8970,0.15594981610774994
1756077990.2934072,9010,0.16719570755958557
1756078138.9389727,9300,0.17399153113365173
1756078144.8744917,9320,0.1859465390443802
1756078174.5140505,9420,0.17081351578235626
1756078195.1732328,9490,0.19078582525253296
1756078236.6368241,9630,0.12096560001373291
1756078343.0753276,9990,0.13833223283290863
1756078351.8038068,10020,0.19439038634300232
1756078357.6778767,10040,0.2809031903743744
1756078390.2906878,10150,0.18330538272857666
1756078410.8138702,10220,0.21035832166671753
1756078422.881723,10260,0.22750094532966614
1756078428.7675436,10280,0.14663684368133545
1756078517.914098,10370,0.16212278604507446
1756078574.1672385,10560,0.22080978751182556
1756078615.738908,10700,0.17713351547718048
1756078618.8869421,10710,0.2007756382226944
1756078624.7917197,10730,0.1504044532775879
1756078636.5996583,10770,0.1824941635131836
1756078663.2557428,10860,0.3224238455295563
1756078698.7786307,10980,0.22456082701683044
1756078710.7579923,11020,0.1714189201593399
1756078716.63828,11040,0.2664121985435486
1756078725.528219,11070,0.1648680716753006
1756078731.3759432,11090,0.1790856420993805
1756078737.4581547,11110,0.17125336825847626
1756078767.320106,11210,0.24942579865455627
1756078779.12483,11250,0.13328424096107483
1756078800.1188295,11320,0.2194022536277771
1756078805.9790974,11340,0.2627111077308655
1756078820.6735516,11390,0.22206424176692963
1756078904.3368428,11460,0.1847405731678009
1756078918.929305,11510,0.15012550354003906
1756078921.8784878,11520,0.2149883657693863
1756078957.611862,11640,0.14825093746185303
1756078987.1789079,11740,0.1825825273990631
1756078993.18132,11760,0.14209742844104767
1756078996.1270592,11770,0.20470339059829712
1756079017.040122,11840,0.12859363853931427
1756079043.7030542,11930,0.18983957171440125
1756079046.8193767,11940,0.2368178814649582
1756079106.204206,12140,0.2640038728713989
1756079118.0184655,12180,0.2043554037809372
1756079138.797559,12250,0.1602647453546524
1756079201.0356355,12460,0.15567195415496826
1756079215.7387373,12510,0.18713930249214172
1756079218.6925812,12520,0.136478453874588
1756079224.8969808,12540,0.22231543064117432
1756079233.738542,12570,0.18919134140014648
1756079308.940445,12610,0.19710320234298706
